MFR_ID,PRODUCT_ID,DESCRIPTION,PRICE,QTY_ON_HAND
REI,2A45C,Ratchet Link,79,210
ACI,4100Y,Widget Remover,2750,25
QSA,XK47,Reducer,355,38
BIC,41627,Plate,180,0
IMM,779C,900-LB Brace,1875,9
ACI,41003,Size 3 Widget,107,207
ACI,41004,Size 4 Widget,117,139
BIC,41003,Handle,652,3
IMM,887P,Brace Pin,250,24
QSA,XK48,Reducer,134,203
REI,2A44L,Left Hinge,4500,12
FEA,112,Housing,148,115
IMM,887H,Brace Holder,54,223
BIC,41089,Retainer,225,78
ACI,41001,Size 1 Wiget,55,277
IMM,775C,500-lb Brace,1425,5
ACI,4100Z,Widget Installer,2500,28
QSA,XK48A,Reducer,177,37
ACI,41002,Size 2 Widget,76,167
REI,2A44R,Right Hinge,4500,12
IMM,773C,300-lb Brace,975,28
ACI,4100X,Widget Adjuster,25,37
FEA,114,Motor Mount,243,15
IMM,887X,Brace Retainer,475,32
REI,2A44G,Hinge Pin,350,14
